TERM025|N	TERMINAL GUADALUPE
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$C0290	R. MARIANO TORRES
$C025M	R. LUIZ LEAO
$E0040	AV. AGOSTINHO LEAO JUNIOR
$E004F	R. AMANCIO MORO
$E004G	R. BARAO DE GUARAUNA
$E0070	R. AUGUSTO SEVERO
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E002H	R. DEPUTADO JOAQUIM JOSE PEDROSA
$E1020	R. CANADA
$E102F	R. SAO JOAO
$E1310	R. GUILHERME IHLENFELDT
$C1020	AV. PARANA
$CO41L	ROD. DA UVA (COLOMBO)
$CO49P	R. ODONIS BIGHI (COLOMBO)
$CO78N	R. JOÃO MOCELIN (COLOMBO)
$CO89N	R. MANOEL ALBERTI (COLOMBO)
$CO44C	R. JOSÉ BEIRA (COLOMBO)
$CO43C	R. JOÃO ESPERANSSETA (COLOMBO)
$CO87N	R. REINALDO CAVALLI (COLOMBO)
$CO16C	R. SANTO P. FRANCESCHI (COLOMBO)
$CO84E	R. PREFEITO PIO (COLOMBO)
$CO46C	R. MANOEL COSTACURTA (COLOMBO)
$CO45C	R. JOSÉ JANUARIO DA SILVA (COLOMBO)
$CO31C	R. FCO. LUZIA DE JESUS ADELIO CORREA (COLOMBO)
$CO69E	R. ANIBAL FELICIANO DOS SANTOS (COLOMBO)
$CO38C	R. ANA DE SOUZA JOHNSSON (COLOMBO)
$CO78E	R. ANTONIO R. DA SILVA ROSA (COLOMBO)
$CO59F	R. RIO CAPIVARI (COLOMBO)
$CO78E	R. ANTONIO R. DA SILVA ROSA (COLOMBO)
$CO38C	R. ANA DE SOUZA JOHNSSON (COLOMBO)
$CO69E	R. ANIBAL FELICIANO DOS SANTOS (COLOMBO)
$CO31C	R. FCO. LUZIA DE JESUS ADELIO CORREA (COLOMBO)
$CO45C	R. JOSÉ JANUARIO DA SILVA (COLOMBO)
$CO46C	R. MANOEL COSTACURTA (COLOMBO)
$CO84E	R. PREFEITO PIO (COLOMBO)
$CO16C	R. SANTO P. FRANCESCHI (COLOMBO)
$CO87N	R. REINALDO CAVALLI (COLOMBO)
$CO43C	R. JOÃO ESPERANSSETA (COLOMBO)
$CO44C	R. JOSÉ BEIRA (COLOMBO)
$CO89N	R. MANOEL ALBERTI (COLOMBO)
$CO78N	R. JOÃO MOCELIN (COLOMBO)
$CO49P	R. ODONIS BIGHI (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$C1020	AV. PARANA
$N102G	R. JOAO GBUR
$N1020	R. JOVINO DO ROSARIO
$N0600	R. BELEM
$N062A	R. CORONEL JOAO ALENCAR GUIMARAES FILHO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$N0430	R. DEPUTADO MARIO DE BARROS
$E007H	R. ALBERTO BOLLIGER
$E004G	R. BARAO DE GUARAUNA
$E004F	R. AMANCIO MORO
$C0390	R. UBALDINO DO AMARAL
$C006M	R. COMENDADOR MACEDO
$C0270	R. TIBAGI
$C004N	R. ITARARE
$C0060	R. PEDRO IVO
