PCA002	PRAÇA TIRADENTES
$C014H	R. CANDIDO LOPES
$C0140	R. DOUTOR CARLOS DE CARVALHO
$C0070	R. VISCONDE DO RIO BRANCO
$C0180	AL. AUGUSTO STELLFELD
$N8010	AV. CANDIDO HARTMANN
$C0200	AL. PRINCESA IZABEL
$W021H	R. JERONIMO DURSKI
$C0220	AL. JULIA DA COSTA
$W8050	R. HUGO KINZELMANN
$W8100	R. DEPUTADO NILSON RIBAS
$W8050	R. HUGO KINZELMANN
$C0220	AL. JULIA DA COSTA
$W021H	R. JERONIMO DURSKI
$C0200	AL. PRINCESA IZABEL
$C0010	R. DESEMBARGADOR MOTTA
$C0160	R. SALDANHA MARINHO
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C014I	R. CRUZ MACHADO
