PCA004	PRAÇA SANTOS ANDRADE
$C014K	R. ALFREDO BUFREN
$C014L	R. AMINTAS DE BARROS
$C0390	R. UBALDINO DO AMARAL
$C0100	R. MARECHAL DEODORO
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E3180	R. RAPHAEL PAPA
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E4270	R. KONRAD ADENAUER
$E346G	R. DANTE ANGELOTE
$E346H	R. PERCY FELICIANO DE CASTILHO
$E329G	R. SEBASTIAO SILVA
$E348G	R. SAID JOAO SALLUM
$E331G	R. ALBERTO DE OLIVEIRA
$E348H	R. ARNALDO PISSETI
$E337G	R. CORONEL DOMINGOS SOARES
$E3520	R. NAPOLEAO BONAPARTE
$E333G	R. ADA MACAGGI
$E3540	R. MARCO POLO
$E3450	R. JOSE DE OLIVEIRA FRANCO
$E3470	R. ADILIO RAMOS
$E3480	R. JORNALISTA ALCEU CHICHORRO
$E3450	R. JOSE DE OLIVEIRA FRANCO
$E3540	R. MARCO POLO
$E333G	R. ADA MACAGGI
$E3520	R. NAPOLEAO BONAPARTE
$E337G	R. CORONEL DOMINGOS SOARES
$E348H	R. ARNALDO PISSETI
$E331G	R. ALBERTO DE OLIVEIRA
$E348G	R. SAID JOAO SALLUM
$E329G	R. SEBASTIAO SILVA
$E346H	R. PERCY FELICIANO DE CASTILHO
$E346G	R. DANTE ANGELOTE
$E4270	R. KONRAD ADENAUER
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E3180	R. RAPHAEL PAPA
$C0120	R. QUINZE DE NOVEMBRO
$C021K	R. PRESIDENTE FARIA
$C014K	R. ALFREDO BUFREN
