TERM025|N	TERMINAL GUADALUPE
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$C0290	R. MARIANO TORRES
$C025M	R. LUIZ LEAO
$N0270	R. BARAO DE ANTONINA
$N0040	R. HEITOR STOCKLER DE FRANCA
$N0060	R. CANDIDO DE ABREU
$N0330	R. COMENDADOR FONTANA
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E1160	AV. PREFEITO ERASTO GAERTNER
$E116F	AV. MONTEIRO TOURINHO
$E251D	R. PERY SOTTO MAIOR BITTENCOURT
$E251G	R. ODETE LAURA FOGGIATO
$C4440	EST. RIBEIRA, DA
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO02P	AV. MAR. JOSÉ DE ANCHIETA (COLOMBO)
$CO05P	R. GALILEU GALILEI (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO46O	R. ARQUIMEDES (COLOMBO)
$CO02P	AV. MAR. JOSÉ DE ANCHIETA (COLOMBO)
$CO05P	R. GALILEU GALILEI (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$C4440	EST. RIBEIRA, DA
$E251G	R. ODETE LAURA FOGGIATO
$E251D	R. PERY SOTTO MAIOR BITTENCOURT
$E116F	AV. MONTEIRO TOURINHO
$E1160	AV. PREFEITO ERASTO GAERTNER
$E115G	R. ALVARO BOTELHO
$E1140	R. NICARAGUA
$N0680	R. CORONEL AMAZONAS MARCONDES
$E004H	AV. MUNHOZ DA ROCHA
$E0250	R. DOUTOR MANOEL PEDRO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$E0030	R. IVO LEAO
$N0350	R. LYSIMACO FERREIRA DA COSTA
$N0060	R. CANDIDO DE ABREU
$N0270	R. BARAO DE ANTONINA
$C025M	R. LUIZ LEAO
$C0270	R. TIBAGI
$C004N	R. ITARARE
$C0060	R. PEDRO IVO
