PCA001	PRAÇA RUI BARBOSA
$S0220	R. ALFERES POLI
$C2500	AV. SETE DE SETEMBRO
PTO0006192|N	ESTAÇÃO TUBO PÇA OSWALDO CRUZ
PTO000105|N	ESTAÇÃO TUBO CEL. DULCÍDIO
PTO000119|N	ESTAÇÃO TUBO BENTO VIANA
$C3000	AV. REPUBLICA ARGENTINA
PTO0002307|N	ESTAÇÃO TUBO  SILVA JARDIM
PTO0002309|N	ESTAÇÃO TUBO PETIT CARNEIRO
PTO0002311|N	ESTAÇÃO TUBO DOM PEDRO I
PTO0002344|N	ESTAÇÃO TUBO SEBASTIÃO PARANÁ
PTO0002346|N	ESTAÇÃO TUBO  VITAL BRASIL
PTO0002348|N	ESTAÇÃO TUBO MORRETES
PTO0002362|N	ESTAÇÃO TUBO  CARLOS DIETZCH
PTO0001287|N	ESTAÇÃO TUBO  ITAJUBÁ
PTO0001291|N	ESTAÇÃO TUBO HERCULANO DE ARAUJO
PTO0001295|N	ESTAÇÃO TUBO PEDRO GUSSO
$C3020	AV. WINSTON CHURCHILL
PTO0001611|N	ESTAÇÃO TUBO JOSÉ C. BETTEGA
PTO0001613|N	ESTAÇÃO TUBO SANTA REGINA
PTO0001615|N	ESTAÇÃO TUBO OURO VERDE
PTO0001616|N	ESTAÇÃO TUBO OURO VERDE
PTO0001614|N	ESTAÇÃO TUBO SANTA REGINA
PTO0001612|N	ESTAÇÃO TUBO JOSÉ C. BETTEGA
$C3000	AV. REPUBLICA ARGENTINA
PTO0001296|N	ESTAÇÃO TUBO PEDRO GUSSO
$S155B	R. CATARINA SCOTTI
$S153C	R. ANDRE JOAO GASPARIN
$C3000	AV. REPUBLICA ARGENTINA
PTO0001292|N	ESTAÇÃO TUBO HERCULANO DE ARAUJO
PTO0001290|N	ESTAÇÃO TUBO HOSPITAL DO TRABALHADOR
PTO0001288|N	ESTAÇÃO TUBO ITAJUBÁ
$S211U	R. AUGUSTO DE MARI
$C300M	AV. REPUBLICA ARGENTINA
$S211T	R. AUGUSTO DE MARI
$C3000	AV. REPUBLICA ARGENTINA
PTO0002363|N	ESTAÇÃO TUBO  CARLOS DIETZCH
PTO0002349|N	ESTAÇÃO TUBO  MORRETES
PTO0002347|N	ESTAÇÃO TUBO  VITAL BRASIL
PTO0002345|N	ESTAÇÃO TUBO  SEBASTIÃO PARANÁ
PTO0002312|N	ESTAÇÃO TUBO DOM PEDRO I
PTO0002310|N	ESTAÇÃO TUBO PETIT CARNEIRO
PTO0002308|N	ESTAÇÃO TUBO SILVA JARDIM
$C2500	AV. SETE DE SETEMBRO
PTO000120|N	ESTAÇÃO TUBO BENTO VIANA
PTO000106|N	ESTAÇÃO TUBO CEL. DULCÍDIO
PTO0006193|N	ESTAÇÃO TUBO PÇA OSWALDO CRUZ
$S0220	R. ALFERES POLI
