$W1630	R. JOAO RODRIGUES PINHEIRO
$W100G	R. MARECHAL OTAVIO SALDANHA MAZZA
$S4330	R. IZAAC FERREIRA DA CRUZ
$S4340	CJ. CRUZEIRO DO SUL
$S4530	R. CELESTE TORTATO GABARDO
$S4200	R. MARIALVA
$S4510	R. APUCARANA
$S4200	R. MARIALVA
$S4530	R. CELESTE TORTATO GABARDO
$S4340	CJ. CRUZEIRO DO SUL
$S4330	R. IZAAC FERREIRA DA CRUZ
$S404H	R. JOAO LAERTES BOCHNIA
$S4310	R. EMILE ZOLA
$C8881	ROD. BR-116
$C3020	AV. WINSTON CHURCHILL
$W1710	R. LEON NICOLAS
$S202A	R. ANDRE FERREIRA BARBOSA
