PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$S015A	AV. AGUA VERDE
$W038F	R. TAMOIOS
$W0510	R. PROFESSOR ULISSES VIEIRA
$W042F	R. PEDRO COLLERE
$W7190	R. JOAQUIM CAETANO DA SILVA
$W7250	R. PINHEIRO GUIMARAES
$W7390	R. ALBERTO KLEMTZ
$W715A	R. REZALA SIMAO
$W747E	R. ATA
$W715A	R. REZALA SIMAO
$W7390	R. ALBERTO KLEMTZ
$W7250	R. PINHEIRO GUIMARAES
$W7190	R. JOAQUIM CAETANO DA SILVA
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W040F	R. TABAJARAS
$W057B	R. PROFESSOR ARLINDO LOYOLA DE CAMARGO
$W042F	R. PEDRO COLLERE
$W0510	R. PROFESSOR ULISSES VIEIRA
$W038F	R. TAMOIOS
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
