PCA007	TV NESTOR DE CASTRO
$C018J	TV. NESTOR DE CASTRO
$C015K	R. ROSARIO, DO
$N0100	R. DUQUE DE CAXIAS
$N0230	R. INACIO LUSTOSA
$N0120	R. TRAJANO REIS
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N016A	R. ALBINO SILVA
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N3340	R. AMAURI LANGE SILVERIO
$N3310	R. SAO SALVADOR
$N4390	R. DOMINGOS ANTONIO MORO
$N4410	AV. FREDOLIN WOLF
$N4430	R. JOSE RIBEIRO DE CRISTO
$N4860	R. JOSE IZIDORO FILHO
$N4470	R. LILIAN JULIA DE OLIVEIRA
$N486D	R. OTALINO AMADO DE SOUZA
$N4430	R. JOSE RIBEIRO DE CRISTO
$N4410	AV. FREDOLIN WOLF
$N4390	R. DOMINGOS ANTONIO MORO
$N3310	R. SAO SALVADOR
$N3340	R. AMAURI LANGE SILVERIO
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N016A	R. ALBINO SILVA
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N0120	R. TRAJANO REIS
$C0240	R. TREZE DE MAIO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
