PCA004	PRAÇA SANTOS ANDRADE
$C014K	R. ALFREDO BUFREN
$C014L	R. AMINTAS DE BARROS
$C0390	R. UBALDINO DO AMARAL
$C0100	R. MARECHAL DEODORO
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E3180	R. RAPHAEL PAPA
$E4030	R. MADRE LEONIE
$E4020	R. MONTE CASTELO
$E4050	R. FREI ORLANDO
$E3180	R. RAPHAEL PAPA
$E4150	AV. AFONSO PENNA
$E404C	R. NAGIB DAHER
$C8880	ROD. BR-116
$E342G	R. SANTA MADALENA SOFIA BARAT
$E329G	R. SEBASTIAO SILVA
$E346H	R. PERCY FELICIANO DE CASTILHO
$E341G	R. PEDRO ELOY DE SOUZA
$E3460	R. ANTONIO CANDIDO CAVALIM
$E3470	R. ADILIO RAMOS
$E3450	R. JOSE DE OLIVEIRA FRANCO
$E3460	R. ANTONIO CANDIDO CAVALIM
$E341G	R. PEDRO ELOY DE SOUZA
$E346H	R. PERCY FELICIANO DE CASTILHO
$E329G	R. SEBASTIAO SILVA
$E342G	R. SANTA MADALENA SOFIA BARAT
$C8880	ROD. BR-116
$E3180	R. RAPHAEL PAPA
$C0120	R. QUINZE DE NOVEMBRO
$C021K	R. PRESIDENTE FARIA
$C014K	R. ALFREDO BUFREN
