PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0090	R. BRASILIO ITIBERE
$S0380	R. IAPO
$S0210	R. JOQUEI CLUBE
$S0400	R. IMACULADA CONCEICAO
$S7130	AV. SENADOR SALGADO FILHO
$S7080	R. ALCIDES TEREZIO DE CARVALHO
$S7040	R. SENADOR NEREU RAMOS
$S717B	R. PADRE OSWALDO GOMES
$S7020	R. PLACIDO DE CASTRO
$S721A	R. JOAO FERREIRA LEITE
$S7060	R. ARMANDO SALES DE OLIVEIRA
$S721C	R. ROBERTO SIMONSEN
$S7080	R. ALCIDES TEREZIO DE CARVALHO
$S721D	R. HENRIQUE DIAS
$S7210	R. DOUTOR JOAQUIM IGNACIO SILVEIRA DA MOTTA
$S7220	R. MINISTRO GABRIEL PASSOS
$S719G	R. FRANCISCO BETTINARDI
$S722A	R. RAUL FERREIRA LEITE
$S7210	R. DOUTOR JOAQUIM IGNACIO SILVEIRA DA MOTTA
$S721D	R. HENRIQUE DIAS
$S7080	R. ALCIDES TEREZIO DE CARVALHO
$S721C	R. ROBERTO SIMONSEN
$S7060	R. ARMANDO SALES DE OLIVEIRA
$S721A	R. JOAO FERREIRA LEITE
$S7020	R. PLACIDO DE CASTRO
$S717B	R. PADRE OSWALDO GOMES
$S7040	R. SENADOR NEREU RAMOS
$S7080	R. ALCIDES TEREZIO DE CARVALHO
$S7130	AV. SENADOR SALGADO FILHO
$S0250	R. THOMAS EDISON
$S0360	R. FRANCISCO NUNES
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
