TERM033|N	TERM.QUATRO BARRAS
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
$QB69C	R. ACESSO A QUATRO BARRAS (QUATRO BARRAS)
$BC03A	R. LAURO DE CARVALHO OSÓRIO (BOCAIUVA)
$BC02A	R. BENJAMIM C. TEIXERA (BOCAIUVA)
$BC25A	R. MARECHAL DEODORO (BOCAIUVA)
$BC35A	R. QUINTINO BOCAIUVA (BOCAIUVA)
$BC02A	R. BENJAMIM C. TEIXERA (BOCAIUVA)
$BC35A	R. QUINTINO BOCAIUVA (BOCAIUVA)
$BC25A	R. MARECHAL DEODORO (BOCAIUVA)
$BC02A	R. BENJAMIM C. TEIXERA (BOCAIUVA)
$BC03A	R. LAURO DE CARVALHO OSÓRIO (BOCAIUVA)
$QB69C	R. ACESSO A QUATRO BARRAS (QUATRO BARRAS)
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
