PCA001	PRAÇA RUI BARBOSA
$S0220	R. ALFERES POLI
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W700A	R. FRANCISCO FRISCHMANN
$W1010	R. JOAO BETTEGA
$W5610	R. ENGENHEIRO ARIEL VILLAR TACLA
$W5460	R. SCHIRLEI SOLANGE MANTOVANI
$W5450	R. GUILHERME FUGMANN
$W5260	R. HUMBERTO CALIXTO FRUET
$W1370	R. PEDRO GUSSO
$W549A	R. HERCILIO KULCHESKI
$W5360	R. OPHIR RUY WOITOWICZ
$W5450	R. GUILHERME FUGMANN
$W5460	R. SCHIRLEI SOLANGE MANTOVANI
$W5610	R. ENGENHEIRO ARIEL VILLAR TACLA
$W1010	R. JOAO BETTEGA
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1090	R. ITACOLOMI
$C023V	R. JOAO NEGRAO
$S2070	AV. PRESIDENTE KENNEDY
$S102A	R. EDUARDO CARLOS PEREIRA
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
