PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0030	AV. IGUACU
$W7010	R. JOAO ALENCAR GUIMARAES
$W843F	R. FREDERICO MULLER
$W8260	R. REINALDO RICHTER
$W843H	R. PEDRO KOSCHLA
$W8280	R. ASTOLPHO NOGUEIRA
$W849A	R. NELSON FERREIRA DA LUZ
$W7620	R. RENATO POLATTI
$W849F	R. ALMIR NELSON DE ALMEIDA
$W8240	R. MARIO ZANLORENZI
$W849F	R. ALMIR NELSON DE ALMEIDA
$W7620	R. RENATO POLATTI
$W849A	R. NELSON FERREIRA DA LUZ
$W8280	R. ASTOLPHO NOGUEIRA
$W843H	R. PEDRO KOSCHLA
$W8260	R. REINALDO RICHTER
$W843F	R. FREDERICO MULLER
$W7010	R. JOAO ALENCAR GUIMARAES
$W7060	R. CURUPAITIS
$W7050	R. MAJOR FRANCA GOMES
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
