PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0090	R. BRASILIO ITIBERE
$C0230	R. JOAO NEGRAO
$S0190	R. COMENDADOR ROSEIRA
$S0380	R. IAPO
$S0210	R. JOQUEI CLUBE
$S0400	R. IMACULADA CONCEICAO
$S7130	AV. SENADOR SALGADO FILHO
$S7370	R. CORONEL JOSE CARVALHO DE OLIVEIRA
$S7360	R. DOUTOR GONZAGA DE CAMPOS
$S733A	R. CLOVIS BEVILAQUA SOBRINHO
$S7460	R. FRANCISCO TIMOTEO DE SIMAS
$S7310	R. SIMAO BRANTE
$S7460	R. FRANCISCO TIMOTEO DE SIMAS
$S733A	R. CLOVIS BEVILAQUA SOBRINHO
$S7360	R. DOUTOR GONZAGA DE CAMPOS
$S7370	R. CORONEL JOSE CARVALHO DE OLIVEIRA
$S7340	R. SARGENTO CARLOS ARGEMIRO DE CAMARGO
$S7130	AV. SENADOR SALGADO FILHO
$S0400	R. IMACULADA CONCEICAO
$S0190	R. COMENDADOR ROSEIRA
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
