PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S2070	AV. PRESIDENTE KENNEDY
$W1070	R. ITATIAIA
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1230	R. PEDRO ZAGONEL
$S153A	TV. AUGUSTO MARACH
$S1500	AV. BRASILIA
$S2140	R. BORTOLO GUSSO
$S271B	R. ELIAS JOAO ZARUCH
$S206A	R. MARECHAL ALTHAYR ROSZANNIY
$C8881	ROD. BR-116
$S5070	R. OMAR RAYMUNDO PICHETH
$S5080	R. HERMENEGILDO BONAT
$S5030	R. PRIMEIRO DE MAIO
$S501D	R. SEBASTIAO VIEIRA DA ROSA
$S5300	R. JOSE MOLENDA
$S5030	R. PRIMEIRO DE MAIO
$S5080	R. HERMENEGILDO BONAT
$S5070	R. OMAR RAYMUNDO PICHETH
$C8881	ROD. BR-116
$S206B	R. ESTEPHANA PIETRUZA
$S271D	R. JOVINA DE OLIVEIRA KARAN
$S206A	R. MARECHAL ALTHAYR ROSZANNIY
$S271B	R. ELIAS JOAO ZARUCH
$S2140	R. BORTOLO GUSSO
$S1500	AV. BRASILIA
$S102A	R. EDUARDO CARLOS PEREIRA
$S2070	AV. PRESIDENTE KENNEDY
$S0220	R. ALFERES POLI
