PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0050	AV. PRESIDENTE GETULIO VARGAS
$C0230	R. JOAO NEGRAO
$S0190	R. COMENDADOR ROSEIRA
$S0340	R. DOUTOR REYNALDO MACHADO
$S034A	R. PROFESSORA REGINA CELIA MARINONI
$S0250	R. THOMAS EDISON
$S7130	AV. SENADOR SALGADO FILHO
$RS010	R. CANAL BELEM
$S7420	R. MARIO MENDES DE LARA
$S7250	R. SALOMAO ELIAS FEDER
$S7600	R. SILVIO DA MAIA MOREIRA
$RS010	R. CANAL BELEM
$S7640	R. DONA BARBARA CID
$S753A	R. JOSE GOMES DE MELLO
$S7700	R. ZULMIRA BACILA
$S753C	R. TENENTE-CORONEL BENJAMIN LAGE
$S638B	R. JOSE HAUER
$RS010	R. CANAL BELEM
$S7880	R. ARLINDO NATAL
$S7710	R. TENENTE ANTONIO MIRANDA MARQUES
$S7880	R. ARLINDO NATAL
$RS010	R. CANAL BELEM
$S638B	R. JOSE HAUER
$S7530	R. TENENTE-CORONEL BENJAMIN LAGE
$S7700	R. ZULMIRA BACILA
$S753A	R. JOSE GOMES DE MELLO
$S7640	R. DONA BARBARA CID
$RS010	R. CANAL BELEM
$S7600	R. SILVIO DA MAIA MOREIRA
$S7250	R. SALOMAO ELIAS FEDER
$S7420	R. MARIO MENDES DE LARA
$RS010	R. CANAL BELEM
$S7130	AV. SENADOR SALGADO FILHO
$S0400	R. IMACULADA CONCEICAO
$S0190	R. COMENDADOR ROSEIRA
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
