PCA002	PRAÇA TIRADENTES
$C014H	R. CANDIDO LOPES
$C0140	R. DOUTOR CARLOS DE CARVALHO
$C0070	R. VISCONDE DO RIO BRANCO
$C0180	AL. AUGUSTO STELLFELD
$N8010	AV. CANDIDO HARTMANN
$C0200	AL. PRINCESA IZABEL
$W0090	R. CAPITAO SOUZA FRANCO
$N8010	AV. CANDIDO HARTMANN
$N7460	R. ANTONIO ESCORSIN
$N7280	AV. VEREADOR TOALDO TULIO
$N7640	R. BRASILIO CUMAN
$N7790	R. HERMENEGILDO LUCA
$N7640	R. BRASILIO CUMAN
$N7280	AV. VEREADOR TOALDO TULIO
$N7460	R. ANTONIO ESCORSIN
$N8010	AV. CANDIDO HARTMANN
$W0110	R. FRANCISCO ROCHA
$C0200	AL. PRINCESA IZABEL
$C0010	R. DESEMBARGADOR MOTTA
$C0160	R. SALDANHA MARINHO
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C014I	R. CRUZ MACHADO
