TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S209D	R. JOAO VIANA SEILER
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S634C	R. JOSEPHA DEREN DESTEFANI
$S6250	R. TENENTE FRANCISCO FERREIRA DE SOUZA
$S636C	R. ITALINO PERUFFO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S6480	R. PASTOR CARLOS FRANK
$S625G	R. ZONARDY RIBAS
$S6500	R. MAESTRO CARLOS FRANK
$S0261	AV. MARECHAL FLORIANO PEIXOTO
$SJ76T	AV. SOUZA NAVES (SJ. DOS PINHAIS)
TERM031|N	TERMINAL CENTRAL SÃO JOSÉ DOS PINHAIS
$SJ57R	R. SCHARFENBERG DE QUADROS (SJ. DOS PINHAIS)
$SJ18T	R. IZABEL A. REDENTORA (SJ. DOS PINHAIS)
$SJ14T	R. TENENTE DJALMA DUTRA (SJ. DOS PINHAIS)
$SJ16S	R. VOL. DA PATRIA (SJ. DOS PINHAIS)
$SJ13T	R. BARAO DO CERRO AZUL (SJ. DOS PINHAIS)
$SJ06T	R. JOINVILE (SJ. DOS PINHAIS)
$SJ30C	R. PROFª OLIVIA NOGUEIRA (SJ. DOS PINHAIS)
$SJ08T	R. IVAI (SJ. DOS PINHAIS)
$SJ31C	R. CAMPO LARGO (SJ. DOS PINHAIS)
$SJ51P	R. S PEDRO DO IVAI (SJ. DOS PINHAIS)
$SJ30C	R. PROFª OLIVIA NOGUEIRA (SJ. DOS PINHAIS)
$SJ06T	R. JOINVILE (SJ. DOS PINHAIS)
$SJ13T	R. BARAO DO CERRO AZUL (SJ. DOS PINHAIS)
$SJ16S	R. VOL. DA PATRIA (SJ. DOS PINHAIS)
$SJ14T	R. TENENTE DJALMA DUTRA (SJ. DOS PINHAIS)
$SJ31T	R. VISC. DE RIO BRANCO (SJ. DOS PINHAIS)
$SJ25T	R. PASSOS DE OLIVEIRA (SJ. DOS PINHAIS)
$SJ57R	R. SCHARFENBERG DE QUADROS (SJ. DOS PINHAIS)
$SJ11R	R. PE. BITENCOURT (SJ. DOS PINHAIS)
$SJ76T	AV. SOUZA NAVES (SJ. DOS PINHAIS)
$S0261	AV. MARECHAL FLORIANO PEIXOTO
$S636C	R. ITALINO PERUFFO
$S6290	R. ANNE FRANK
$S602A	R. ARTUR HAUER
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$C023T	R. ALUIZIO FINZETTO
$S0360	R. FRANCISCO NUNES
$S015E	R. CORONEL ZACARIAS
$C0250	R. CONSELHEIRO LAURINDO
