PCA003	PRAÇA CARLOS GOMES
$C0080	R. JOSE LOUREIRO
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S850N	R. ATILIO PIOTO
$S9700	R. ALFREDO BARCIK
$S955J	R. RIVADAVIA FONSECA DE MACEDO
$S9760	R. DOUTOR HAMILTON PORTUGAL PEREIRA
$S961J	R. JOAO ALVES DE ARAUJO
$S9800	R. ANTONIO MOREIRA LOPES
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
