PCA001	PRAÇA RUI BARBOSA
$S0220	R. ALFERES POLI
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W0550	R. VITAL BRASIL
$W038F	R. TAMOIOS
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W7310	R. PADRE LEONARDO NUNES
$W7020	R. CORONEL AIRTON PLAISANT
$W7350	R. ENGENHEIRO HEITOR SOARES GOMES
$W7390	R. ALBERTO KLEMTZ
$W714J	R. DESEMBARGADOR LAURO SODRE LOPES
$W6010	R. CARLOS KLEMTZ
$W608A	R. PROFESSOR ELEVIR DIONYSIO
$W603B	R. ARISTIDES BORSATO
$W6120	R. EDVINO ANTONIO DEBONI
$W603F	R. MANOEL FELIPE DAHER
$W6120	R. EDVINO ANTONIO DEBONI
$W603B	R. ARISTIDES BORSATO
$W608A	R. PROFESSOR ELEVIR DIONYSIO
$W6010	R. CARLOS KLEMTZ
$W714J	R. DESEMBARGADOR LAURO SODRE LOPES
$W7390	R. ALBERTO KLEMTZ
$W7350	R. ENGENHEIRO HEITOR SOARES GOMES
$W7020	R. CORONEL AIRTON PLAISANT
$W7330	R. CAPITAO MARIS DE BARROS
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W038F	R. TAMOIOS
$W0550	R. VITAL BRASIL
$S1270	R. GOIAS
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
