PCA007	TV NESTOR DE CASTRO
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C0110	R. CABRAL
$N016B	R. PRESBITEROS, DOS
$C018N	AV. JAIME REIS
$N6160	AV. MANOEL RIBAS
$N6090	R. ANGELO DOMINGOS DURIGAN
$N5150	R. ARI JOSE VALLE
$N5240	R. FRANCISCO DALLALIBERA
$N6450	R. SATURNINO MIRANDA
$N5240	R. FRANCISCO DALLALIBERA
$N5150	R. ARI JOSE VALLE
$N6090	R. ANGELO DOMINGOS DURIGAN
$N6160	AV. MANOEL RIBAS
$W0030	AL. PRESIDENTE TAUNAY
$N0300	R. PROFESSORA ROSA SAPORSKI
$N6160	AV. MANOEL RIBAS
$C018N	AV. JAIME REIS
$N012A	R. ALMIRANTE BARROSO
$C0240	R. TREZE DE MAIO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
