PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W0510	R. PROFESSOR ULISSES VIEIRA
$W7060	R. CURUPAITIS
$W7150	R. BOCAIUVA
$W715A	R. REZALA SIMAO
$W6010	R. CARLOS KLEMTZ
$W7300	R. RAUL POMPEIA
$W6010	R. CARLOS KLEMTZ
$W715A	R. REZALA SIMAO
$W7150	R. BOCAIUVA
$W7060	R. CURUPAITIS
$W0510	R. PROFESSOR ULISSES VIEIRA
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
