PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S2070	AV. PRESIDENTE KENNEDY
$S104A	R. PONTA GROSSA
$S156A	R. JOSE DE ALMEIDA GARRETT
$S2520	AV. SANTA BERNADETHE
$S158A	R. PAULO BETTES
$S1410	R. ILDEFONSO STOCKLER DE FRANCA
$S1540	R. JOSE PALU
$S1470	R. JOAO STENZOWSKI
$S2370	R. AMERICO VESPUCIO
$S242F	R. DJALMA FERREIRA MACIEL
$S2420	R. JOAO DE OLIVEIRA FRANCO
$S2410	R. ELOY DE ASSIS FABRIS
$S2360	R. BRASILIO RIBAS
$S2490	R. MAESTRO FRANCISCO ANTONELLO
$S1500	AV. BRASILIA
$S249A	R. SAO JUDAS TADEU
$S1500	AV. BRASILIA
$S2490	R. MAESTRO FRANCISCO ANTONELLO
$S2360	R. BRASILIO RIBAS
$S2410	R. ELOY DE ASSIS FABRIS
$S2420	R. JOAO DE OLIVEIRA FRANCO
$S242F	R. DJALMA FERREIRA MACIEL
$S2370	R. AMERICO VESPUCIO
$S1470	R. JOAO STENZOWSKI
$S1540	R. JOSE PALU
$S1410	R. ILDEFONSO STOCKLER DE FRANCA
$S158A	R. PAULO BETTES
$S2520	AV. SANTA BERNADETHE
$S156A	R. JOSE DE ALMEIDA GARRETT
$S104A	R. PONTA GROSSA
$S2070	AV. PRESIDENTE KENNEDY
$S0220	R. ALFERES POLI
