TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S040A	R. SERGIO VENCI
$S044G	R. EMBAIXADOR HIPOLITO DE ARAUJO
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0460	AV. COMENDADOR FRANCO
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$SJ93S	R. HARRY FEEKEN (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ80T	R. CARLOS HAMBRUSH (SJ. DOS PINHAIS)
$SJ79T	R. IZABEL ZEN ZAGONEL (SJ. DOS PINHAIS)
$SJ55E	R. AVE DO PARAISO (SJ. DOS PINHAIS)
$SJ54E	R. DOS CARDEAIS (SJ. DOS PINHAIS)
$SJ77T	R. MARECHAL HERMES (SJ. DOS PINHAIS)
$SJ64G	R. TAVARES DE LIRA (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
TERM040|N	TERMINAL AFONSO PENA
$SJ87J	R. BOLESLAU SOCHAC ZESNSKI (SJ. DOS PINHAIS)
$SJ53T	R. PRIMO SIMIONI (SJ. DOS PINHAIS)
$SJ64G	R. TAVARES DE LIRA (SJ. DOS PINHAIS)
$SJ77T	R. MARECHAL HERMES (SJ. DOS PINHAIS)
$SJ54E	R. DOS CARDEAIS (SJ. DOS PINHAIS)
$SJ55E	R. AVE DO PARAISO (SJ. DOS PINHAIS)
$SJ79T	R. IZABEL ZEN ZAGONEL (SJ. DOS PINHAIS)
$SJ80T	R. CARLOS HAMBRUSH (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ93S	R. HARRY FEEKEN (SJ. DOS PINHAIS)
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0250	R. CONSELHEIRO LAURINDO
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
