PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0050	AV. PRESIDENTE GETULIO VARGAS
$C0230	R. JOAO NEGRAO
$S0170	R. CONSELHEIRO DANTAS
$S017E	R. GUABIROTUBA
$S0380	R. IAPO
$S0210	R. JOQUEI CLUBE
$S0400	R. IMACULADA CONCEICAO
$S7130	AV. SENADOR SALGADO FILHO
$S790A	R. JOSE FERNANDES ALVES
$S0170	R. CONSELHEIRO DANTAS
$S790A	R. JOSE FERNANDES ALVES
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0400	R. IMACULADA CONCEICAO
$S017E	R. GUABIROTUBA
$S015E	R. CORONEL ZACARIAS
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
