TERM034|N	TERM. DE COLOMBO
$CO29K	R. JOSÉ CAVASSIN (COLOMBO)
$CO79A	R. JOSÉ LEAL FONTOURA (COLOMBO)
$CO43L	R. MARECHAL FLORIANO PEIXOTO (COLOMBO)
$CO40L	R. FRANCISCO BUSATO DO ROSÁRIO (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$CO81N	AV. SANTOS DUMONT (COLOMBO)
$CO91E	R. PAULO SCROK (COLOMBO)
$CO98O	AV. SANTOS DUMONT (COLOMBO)
$CO00P	R. DA PEDREIRA (COLOMBO)
$CO67O	AV. LONDRES (COLOMBO)
$CO96M	AV. MADRI (COLOMBO)
$CO69O	AV. ARGENTINA (COLOMBO)
$CO02P	AV. MAR. JOSÉ DE ANCHIETA (COLOMBO)
$CO05P	R. GALILEU GALILEI (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO50L	R. PRESIDENTE FARIA (COLOMBO)
$CO11I	R. FLORINDO TREVISAN (COLOMBO)
$CO16I	R. PRESIDENTE FARIA (COLOMBO)
$CO28I	R. LUIZ BERLEZI (COLOMBO)
$PI56G	EST. DA GRACIOSA (PINHAIS)
$CO25I	R. JACOB BERLESI (COLOMBO)
$CO17I	R. PIETRO CANESTRARO (COLOMBO)
$CO18I	R. VICENTE CANESTRARO (COLOMBO)
$CO28I	R. LUIZ BERLEZI (COLOMBO)
$CO10O	ROD. BR116 (COLOMBO)
$QB76C	ROD. BR 116 (QUATRO BARRAS)
$QB69C	R. ACESSO A QUATRO BARRAS (QUATRO BARRAS)
$QB76C	ROD. BR 116 (QUATRO BARRAS)
$CO07O	ROD. BR116 (COLOMBO)
$CO16I	R. PRESIDENTE FARIA (COLOMBO)
$CO11I	R. FLORINDO TREVISAN (COLOMBO)
$CO50L	R. PRESIDENTE FARIA (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO69O	AV. ARGENTINA (COLOMBO)
$CO96M	AV. MADRI (COLOMBO)
$CO67O	AV. LONDRES (COLOMBO)
$CO00P	R. DA PEDREIRA (COLOMBO)
$CO98O	AV. SANTOS DUMONT (COLOMBO)
$CO91E	R. PAULO SCROK (COLOMBO)
$CO81N	AV. SANTOS DUMONT (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$CO40L	R. FRANCISCO BUSATO DO ROSÁRIO (COLOMBO)
$CO58A	R. VENÃNCIO TREVISAN (COLOMBO)
$CO56A	R. PADRE FRANCISCO BONATO (COLOMBO)
$CO79A	R. JOSÉ LEAL FONTOURA (COLOMBO)
$CO29K	R. JOSÉ CAVASSIN (COLOMBO)
