PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$S015A	AV. AGUA VERDE
$W036F	R. BOROROS
$W0550	R. VITAL BRASIL
$W040F	R. TABAJARAS
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W7190	R. JOAQUIM CAETANO DA SILVA
$W7250	R. PINHEIRO GUIMARAES
$W7040	R. CAPIBERIBE
$W7270	R. AGOSTINHO MERLIN
$W714G	R. MARIA DE CAMPOS
$W7390	R. ALBERTO KLEMTZ
$W715A	R. REZALA SIMAO
$W743D	R. DIONIRA MOLETTA KLEMTZ
$W7520	R. NATALIO SCUSSIATO
$W7560	R. DOUTOR LUBUMIR VIERGBISKI
$W743D	R. DIONIRA MOLETTA KLEMTZ
$W715A	R. REZALA SIMAO
$W7390	R. ALBERTO KLEMTZ
$W714G	R. MARIA DE CAMPOS
$W7270	R. AGOSTINHO MERLIN
$W7040	R. CAPIBERIBE
$W7250	R. PINHEIRO GUIMARAES
$W7190	R. JOAQUIM CAETANO DA SILVA
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W040F	R. TABAJARAS
$W0550	R. VITAL BRASIL
$W036F	R. BOROROS
$S015A	AV. AGUA VERDE
$W0320	R. CANDIDO XAVIER
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
