PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S2070	AV. PRESIDENTE KENNEDY
$S260M	R. MINAS GERAIS
$S2210	R. ALAGOAS
$S1210	R. SANTA CATARINA
$C023U	AV. REPUBLICA, DA
$S250F	R. CAMILO CASTELO BRANCO
$S2270	AV. PRESIDENTE WENCESLAU BRAZ
$S2520	AV. SANTA BERNADETHE
$S1680	R. ALEIXO BETTEGA
$S2330	R. CONDE DOS ARCOS
$S246F	R. JOSE FERREIRA BARROS
$S2330	R. CONDE DOS ARCOS
$S1680	R. ALEIXO BETTEGA
$S2520	AV. SANTA BERNADETHE
$S2270	AV. PRESIDENTE WENCESLAU BRAZ
$S248F	R. GALILEU GALILEI
$C023U	AV. REPUBLICA, DA
$S1210	R. SANTA CATARINA
$S2210	R. ALAGOAS
$S260M	R. MINAS GERAIS
$S2070	AV. PRESIDENTE KENNEDY
$S0220	R. ALFERES POLI
