PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S2070	AV. PRESIDENTE KENNEDY
$S260M	R. MINAS GERAIS
$S2210	R. ALAGOAS
$S104A	R. PONTA GROSSA
$S156A	R. JOSE DE ALMEIDA GARRETT
$S2520	AV. SANTA BERNADETHE
$S158A	R. PAULO BETTES
$S1410	R. ILDEFONSO STOCKLER DE FRANCA
$S1540	R. JOSE PALU
$S154J	R. IZIDORO SIEDELISKI
$S239A	R. ANDORINHAS, DAS
$S230A	R. PERDIZES, DAS
$S2300	R. ADALBERTO SCHERER
$S247A	R. PROFESSOR LICIO DE LIMA
$S1500	AV. BRASILIA
$S239A	R. ANDORINHAS, DAS
$S154J	R. IZIDORO SIEDELISKI
$S1540	R. JOSE PALU
$S1410	R. ILDEFONSO STOCKLER DE FRANCA
$S158A	R. PAULO BETTES
$S2520	AV. SANTA BERNADETHE
$S156A	R. JOSE DE ALMEIDA GARRETT
$S104A	R. PONTA GROSSA
$S2210	R. ALAGOAS
$S260M	R. MINAS GERAIS
$S2070	AV. PRESIDENTE KENNEDY
$S0220	R. ALFERES POLI
