TERM032|N	TERMINAL PIRAQUARA
$PQ86G	R. BARAO AZUL CERRO (PIRAQUARA)
$PQ14H	R. ROQUE VERNALHA (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ24D	R. ALTEVIR SCHUET DE AGUIAR (PIRAQUARA)
$PQ05F	R. JOAN ELLN NOWEL (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ43G	ROD. VIA ANTONIO ALCEU ZIELONKA (PIRAQUARA)
$PQ83E	R. 19 (PIRAQUARA)
$PQ86F	AV. NILZA GELINSKI DE FARIA (PIRAQUARA)
$PQ90E	R. NOVA JERUSALEM (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ05F	R. JOAN ELLN NOWEL (PIRAQUARA)
$PQ24D	R. ALTEVIR SCHUET DE AGUIAR (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ95G	R. FRANCISCO LEAL (PIRAQUARA)
$PQ86G	R. BARAO AZUL CERRO (PIRAQUARA)
