PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$S015A	AV. AGUA VERDE
$W038F	R. TAMOIOS
$W0510	R. PROFESSOR ULISSES VIEIRA
$W706B	R. FRANCISCO CARVALHO DE OLIVEIRA
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7150	R. BOCAIUVA
$W715A	R. REZALA SIMAO
$W7180	R. DONA ELEUSINA PLAISANT
$W7090	R. REINALDO PAZELLO
$W7220	R. HERBERT NEAL
$W7240	R. MANOEL DINIZ
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7280	R. HEITOR CRESTO
$W0510	R. PROFESSOR ULISSES VIEIRA
$W7280	R. HEITOR CRESTO
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7240	R. MANOEL DINIZ
$W7220	R. HERBERT NEAL
$W7090	R. REINALDO PAZELLO
$W7180	R. DONA ELEUSINA PLAISANT
$W715A	R. REZALA SIMAO
$W7150	R. BOCAIUVA
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7080	R. CURUPIS
$W0510	R. PROFESSOR ULISSES VIEIRA
$W038F	R. TAMOIOS
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
$C0060	R. PEDRO IVO
