TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S040A	R. SERGIO VENCI
$S044G	R. EMBAIXADOR HIPOLITO DE ARAUJO
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0460	AV. COMENDADOR FRANCO
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$SJ70Q	ROD. BR 376 (SJ. DOS PINHAIS)
$SJ26T	R. NORBERTO DE BRITO (SJ. DOS PINHAIS)
$SJ27T	AV. COMANDANTE AVIADOR JOSÉ PAULO LIPINSKI (SJ. DOS PINHAIS)
$SJ24H	R. TEIXEIRA SOARES (SJ. DOS PINHAIS)
$SJ10T	R. CASTRO (SJ. DOS PINHAIS)
$SJ83C	R. RUBENS HUERGO (SJ. DOS PINHAIS)
$SJ05D	R. MARIA P. VACCARI (SJ. DOS PINHAIS)
$SJ82C	R. MARGARIDA P.MORO (SJ. DOS PINHAIS)
$SJ76C	R. LAURA LOPES LATUF (SJ. DOS PINHAIS)
$SJ81C	R. RAUL TEIXEIRA DE CARVALHO (SJ. DOS PINHAIS)
$SJ75C	R. MARIA DA LUZ (SJ. DOS PINHAIS)
$SJ37R	R. JORGE GUIMARÃES DE CARVALHO (SJ. DOS PINHAIS)
$SJ76C	R. LAURA LOPES LATUF (SJ. DOS PINHAIS)
$SJ82C	R. MARGARIDA P.MORO (SJ. DOS PINHAIS)
$SJ05D	R. MARIA P. VACCARI (SJ. DOS PINHAIS)
$SJ83C	R. RUBENS HUERGO (SJ. DOS PINHAIS)
$SJ10T	R. CASTRO (SJ. DOS PINHAIS)
$SJ24H	R. TEIXEIRA SOARES (SJ. DOS PINHAIS)
$SJ27T	AV. COMANDANTE AVIADOR JOSÉ PAULO LIPINSKI (SJ. DOS PINHAIS)
$SJ50T	AV. ROCHA POMBO (SJ. DOS PINHAIS)
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0250	R. CONSELHEIRO LAURINDO
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
