TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$SJ81T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$SJ92D	R. TIRADENTES (SJ. DOS PINHAIS)
$SJ95D	R. ALFREDO PINTO (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
TERM040|N	TERMINAL AFONSO PENA
$SJ90J	R. PROFª MARIETA S SILVA (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ19R	R. LOURDES BONIN (SJ. DOS PINHAIS)
$SJ40G	R. DOLOVICO PISSAIA (SJ. DOS PINHAIS)
$SJ63G	R. TEREZA CAETANO DE LIMA (SJ. DOS PINHAIS)
$SJ39G	R. VITORIO JULIATO (SJ. DOS PINHAIS)
$SJ19R	R. LOURDES BONIN (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ90J	R. PROFª MARIETA S SILVA (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ95D	R. ALFREDO PINTO (SJ. DOS PINHAIS)
$SJ92D	R. TIRADENTES (SJ. DOS PINHAIS)
$SJ81T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ82T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
