TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S040A	R. SERGIO VENCI
$S044G	R. EMBAIXADOR HIPOLITO DE ARAUJO
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0460	AV. COMENDADOR FRANCO
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$SJ93S	R. HARRY FEEKEN (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ70E	R. MANDIRITUBA (SJ. DOS PINHAIS)
$SJ98E	R. MARIA B MARENDA (SJ. DOS PINHAIS)
$SJ02F	R. DES ERNANI DE ABREU (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ20F	R. SEN. ACIOLY FILHO (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
TERM040|N	TERMINAL AFONSO PENA
$SJ20F	R. SEN. ACIOLY FILHO (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ02F	R. DES ERNANI DE ABREU (SJ. DOS PINHAIS)
$SJ98E	R. MARIA B MARENDA (SJ. DOS PINHAIS)
$SJ70E	R. MANDIRITUBA (SJ. DOS PINHAIS)
$SJ63P	R. ALMIRANTE ALEXANDRINO (SJ. DOS PINHAIS)
$SJ93S	R. HARRY FEEKEN (SJ. DOS PINHAIS)
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0250	R. CONSELHEIRO LAURINDO
