TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$SJ81T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ04I	R. SALOMAO MIGUEL NASSER (SJ. DOS PINHAIS)
$SJ05I	R. PROFª MARIA L DUMA (SJ. DOS PINHAIS)
$SJ88I	R. PAULINO F BELLO (SJ. DOS PINHAIS)
$SJ08I	R. SLEIMAN FAYAD (SJ. DOS PINHAIS)
$SJ90I	R. ANNA F DE CAMARGO (SJ. DOS PINHAIS)
$SJ15J	R. SEBASTIANA SANTANA FRAGA (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ63I	AV. GUATUPÊ (SJ. DOS PINHAIS)
$SJ75I	R. MARIO TOMELIM (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ73I	R. SEBASTIÃO L FONTANA (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ12B	R. MITCHESLAU (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ82A	R. LINDOLFO DAMANN (SJ. DOS PINHAIS)
$SJ63I	AV. GUATUPÊ (SJ. DOS PINHAIS)
$SJ05B	R. OLIVEIRA C BRANCO (SJ. DOS PINHAIS)
$SJ02B	R. JOSÉ R DE PAULA (SJ. DOS PINHAIS)
$SJ04B	R. ANTENOR DOS SANTOS (SJ. DOS PINHAIS)
$SJ07B	R. PROFº MARIA V NOVAIS (SJ. DOS PINHAIS)
$SJ94A	R. SOFIA MORESCHI (SJ. DOS PINHAIS)
$SJ07B	R. PROFº MARIA V NOVAIS (SJ. DOS PINHAIS)
$SJ04B	R. ANTENOR DOS SANTOS (SJ. DOS PINHAIS)
$SJ02B	R. JOSÉ R DE PAULA (SJ. DOS PINHAIS)
$SJ05B	R. OLIVEIRA C BRANCO (SJ. DOS PINHAIS)
$SJ63I	AV. GUATUPÊ (SJ. DOS PINHAIS)
$SJ82A	R. LINDOLFO DAMANN (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ12B	R. MITCHESLAU (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ73I	R. SEBASTIÃO L FONTANA (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ75I	R. MARIO TOMELIM (SJ. DOS PINHAIS)
$SJ63I	AV. GUATUPÊ (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ15J	R. SEBASTIANA SANTANA FRAGA (SJ. DOS PINHAIS)
$SJ90I	R. ANNA F DE CAMARGO (SJ. DOS PINHAIS)
$SJ08I	R. SLEIMAN FAYAD (SJ. DOS PINHAIS)
$SJ88I	R. PAULINO F BELLO (SJ. DOS PINHAIS)
$SJ05I	R. PROFª MARIA L DUMA (SJ. DOS PINHAIS)
$SJ04I	R. SALOMAO MIGUEL NASSER (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ82T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
