TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S040A	R. SERGIO VENCI
$S044G	R. EMBAIXADOR HIPOLITO DE ARAUJO
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0460	AV. COMENDADOR FRANCO
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$SJ91T	R. JOAQUIM NABUCO (SJ. DOS PINHAIS)
$SJ59R	TV. ARI ALBERTI (SJ. DOS PINHAIS)
$SJ58R	R. DR. CLAUDINO DOS SANTOS (SJ. DOS PINHAIS)
$SJ25T	R. PASSOS DE OLIVEIRA (SJ. DOS PINHAIS)
$SJ11R	R. PE. BITENCOURT (SJ. DOS PINHAIS)
TERM031|N	TERMINAL CENTRAL SÃO JOSÉ DOS PINHAIS
$SJ34T	R. MENDES LEITAO (SJ. DOS PINHAIS)
$SJ73T	R. JOAQUIM NABUCO (SJ. DOS PINHAIS)
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0250	R. CONSELHEIRO LAURINDO
