PCA001	PRAÇA RUI BARBOSA
$S0220	R. ALFERES POLI
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W700A	R. FRANCISCO FRISCHMANN
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W102D	R. MARIO CHAUBALD BISCAIA
$W1230	R. PEDRO ZAGONEL
$W122D	R. DOUTOR LUIZ LOSSO FILHO
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$W122D	R. DOUTOR LUIZ LOSSO FILHO
$W1230	R. PEDRO ZAGONEL
$S153A	TV. AUGUSTO MARACH
$S150A	R. IRMAS PAULINAS
$S1500	AV. BRASILIA
$S102A	R. EDUARDO CARLOS PEREIRA
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
