PCA002	PRAÇA TIRADENTES
$C014H	R. CANDIDO LOPES
$C0140	R. DOUTOR CARLOS DE CARVALHO
$C0070	R. VISCONDE DO RIO BRANCO
$C0180	AL. AUGUSTO STELLFELD
$N8010	AV. CANDIDO HARTMANN
$C0200	AL. PRINCESA IZABEL
$W0090	R. CAPITAO SOUZA FRANCO
$N8010	AV. CANDIDO HARTMANN
$N8240	R. JOAO BATISTA DALLARMI
$N8190	R. ANNA GBUR BARCIK
$N8340	R. TOBIAS DE MACEDO JUNIOR
$C6660	ROD. BR-277
$W8000	R. GENERAL MARIO TOURINHO
$C4000	R. PADRE ANCHIETA
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C014I	R. CRUZ MACHADO
