PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0030	AV. IGUACU
$W7010	R. JOAO ALENCAR GUIMARAES
$W843F	R. FREDERICO MULLER
$W8260	R. REINALDO RICHTER
$W843H	R. PEDRO KOSCHLA
$W8280	R. ASTOLPHO NOGUEIRA
$W849A	R. NELSON FERREIRA DA LUZ
$W7620	R. RENATO POLATTI
$W7580	R. JOSE BENEDITO COTTOLENGO
$W751E	R. JOSE GONCALVES JUNIOR
$W7560	R. DOUTOR LUBUMIR VIERGBISKI
$W755E	R. PEDRO BIERNASKI
$W7550	R. NOVA AMERICA
$W749D	R. RIO DO SUL
$W755A	R. ROSA LEONARDI
$W744E	R. LELLO MARCHINE
$W751A	R. WALDEMAR CAVANHA
$W7300	R. RAUL POMPEIA
$W6010	R. CARLOS KLEMTZ
$W728Q	R. ADORIDES DE JESUS CRUZ CAMARGO
$W747E	R. ATA
$W6010	R. CARLOS KLEMTZ
$W7300	R. RAUL POMPEIA
$W751A	R. WALDEMAR CAVANHA
$W744E	R. LELLO MARCHINE
$W755A	R. ROSA LEONARDI
$W749D	R. RIO DO SUL
$W7550	R. NOVA AMERICA
$W755E	R. PEDRO BIERNASKI
$W7560	R. DOUTOR LUBUMIR VIERGBISKI
$W751E	R. JOSE GONCALVES JUNIOR
$W7580	R. JOSE BENEDITO COTTOLENGO
$W7620	R. RENATO POLATTI
$W849A	R. NELSON FERREIRA DA LUZ
$W8280	R. ASTOLPHO NOGUEIRA
$W843H	R. PEDRO KOSCHLA
$W8260	R. REINALDO RICHTER
$W843F	R. FREDERICO MULLER
$W7010	R. JOAO ALENCAR GUIMARAES
$W7060	R. CURUPAITIS
$W7050	R. MAJOR FRANCA GOMES
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
