TERM033|N	TERM.QUATRO BARRAS
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
$QB27C	AV. SÃO SEBASTIÃO (QUATRO BARRAS)
$PQ43G	ROD. VIA ANTONIO ALCEU ZIELONKA (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ95G	R. FRANCISCO LEAL (PIRAQUARA)
$PQ01H	R. REINALDO MEIRA (PIRAQUARA)
TERM032|N	TERMINAL PIRAQUARA
$PQ86G	R. BARAO AZUL CERRO (PIRAQUARA)
$PQ95G	R. FRANCISCO LEAL (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ46G	R. MEIRELLES SOBRINHO (PIRAQUARA)
$PQ43G	ROD. VIA ANTONIO ALCEU ZIELONKA (PIRAQUARA)
$QB27C	AV. SÃO SEBASTIÃO (QUATRO BARRAS)
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
$QB71C	R. ANTONIO THOMAZ BITTENCOURT (QUATRO BARRAS)
$QB92B	R. SERGIO FERREIRA ALVES (QUATRO BARRAS)
