$C4000	R. PADRE ANCHIETA
$W8000	R. GENERAL MARIO TOURINHO
$C6660	ROD. BR-277
$N8150	R. PADRE LADISLAU KULA
$N8010	AV. CANDIDO HARTMANN
$N8240	R. JOAO BATISTA DALLARMI
$N8190	R. ANNA GBUR BARCIK
$N8340	R. TOBIAS DE MACEDO JUNIOR
$C6660	ROD. BR-277
$W8000	R. GENERAL MARIO TOURINHO
$W021H	R. JERONIMO DURSKI
