PCA007	TV NESTOR DE CASTRO
$C018J	TV. NESTOR DE CASTRO
$C015K	R. ROSARIO, DO
$N0100	R. DUQUE DE CAXIAS
$N0230	R. INACIO LUSTOSA
$N0120	R. TRAJANO REIS
$N3000	R. NILO PECANHA
$N3460	R. EUGENIO FLOR
$N343B	R. OSWALDO MACIEL
$N346E	R. EUGENIO FLOR
$N343B	R. OSWALDO MACIEL
$N3460	R. EUGENIO FLOR
$N3000	R. NILO PECANHA
$N031C	TV. GENERAL FRANCISCO LIMA E SILVA
$N014A	R. DOMINGOS NASCIMENTO
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N0120	R. TRAJANO REIS
$C0240	R. TREZE DE MAIO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
