PCA001	PRAÇA RUI BARBOSA
$S0220	R. ALFERES POLI
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W700A	R. FRANCISCO FRISCHMANN
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1090	R. ITACOLOMI
$W1220	R. RAUL FELIX
$C023X	R. ULISSES KENDRICK DE MORAES
$C023V	R. JOAO NEGRAO
$W1220	R. RAUL FELIX
$W113B	R. MARCELINO IACHINSKI
$W6020	R. JOSE GUSSO
$W1090	R. ITACOLOMI
$C023V	R. JOAO NEGRAO
$S2070	AV. PRESIDENTE KENNEDY
$S102A	R. EDUARDO CARLOS PEREIRA
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
