PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$S221A	R. PROFESSOR PORTHOS VELOZO
$S022A	R. ALFERES POLI
$S223A	R. PROFESSOR LEONIDAS FERREIRA DA COSTA
$S274M	R. MARIA MOSCARDI FANINI
$S274F	R. ANTONIO MELILLO
$S2740	R. ANTONIO BARIQUELO
$S2510	R. MAJOR VICENTE DE CASTRO
$S2700	R. CORONEL IZALTINO PINHO
$C8881	ROD. BR-116
$S1500	AV. BRASILIA
$S253B	R. JOAQUIM FRANCO DOS ANJOS
$S226A	R. HELLEN KELLER
$C8881	ROD. BR-116
$S5270	R. FRANCISCO DEROSSO
$S508I	R. ANGELO SCARAMUZA
$S5210	R. ANIBAL REQUIAO
$S510H	R. JOSE MARIA PINHEIRO LIMA
$S5150	R. CAPITAO ANTONIO JOSE
$S522I	R. EURICO FONSECA DOS SANTOS
$S511A	R. CORONEL RIVADAVIA PEREIRA DE MORAES
$S5440	R. LEONCIO LOPES CORTIANO
$S5570	R. CONSTANTINO JOSE DE ALMEIDA
$S511A	R. CORONEL RIVADAVIA PEREIRA DE MORAES
$S522I	R. EURICO FONSECA DOS SANTOS
$S5150	R. CAPITAO ANTONIO JOSE
$S510H	R. JOSE MARIA PINHEIRO LIMA
$S5210	R. ANIBAL REQUIAO
$C8881	ROD. BR-116
$S2740	R. ANTONIO BARIQUELO
$S274F	R. ANTONIO MELILLO
$S274M	R. MARIA MOSCARDI FANINI
$S223A	R. PROFESSOR LEONIDAS FERREIRA DA COSTA
$S022A	R. ALFERES POLI
$S221A	R. PROFESSOR PORTHOS VELOZO
$S0220	R. ALFERES POLI
$C0060	R. PEDRO IVO
