PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S8760	R. AVIADOR ARMIN BUHRER
$S8610	R. CAPITAO LEONIDAS MARQUES
$S8760	R. AVIADOR ARMIN BUHRER
$S879M	R. EUNICE BETTINI BARTOSZECK
$S866H	R. ADHMAR VIEIRA DE ARAUJO
$S879S	R. DOUTOR FABIO ROGERIO BERTOLI ARNS
$S860M	R. VICTOR LUIZ MAGANHOTO
$S879M	R. EUNICE BETTINI BARTOSZECK
$S8760	R. AVIADOR ARMIN BUHRER
$S8610	R. CAPITAO LEONIDAS MARQUES
$S8760	R. AVIADOR ARMIN BUHRER
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
