TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$SJ81T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ83I	R. FLORENTINO SUCHIA (SJ. DOS PINHAIS)
$SJ15J	R. SEBASTIANA SANTANA FRAGA (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ45S	R. ILO ANTONINHO MOZER (SJ. DOS PINHAIS)
$SJ51J	R. DEP. LUIZ GABRIEL SAMPAIO (SJ. DOS PINHAIS)
$SJ43J	R. SEGESMUNDO LENKOT (SJ. DOS PINHAIS)
$SJ25J	AV. BLUMENAL (SJ. DOS PINHAIS)
$SJ34J	R. NELSON PORTES DE BRITO (SJ. DOS PINHAIS)
$SJ45S	R. ILO ANTONINHO MOZER (SJ. DOS PINHAIS)
$SJ65I	AV. JOÃO FRAGA NETO (SJ. DOS PINHAIS)
$SJ66I	AV. THOMAZ CARMELIANO DE MIRANDA (SJ. DOS PINHAIS)
$SJ15J	R. SEBASTIANA SANTANA FRAGA (SJ. DOS PINHAIS)
$SJ83I	R. FLORENTINO SUCHIA (SJ. DOS PINHAIS)
$SJ19B	AV. RUI BARBOSA (SJ. DOS PINHAIS)
$SJ82T	ROD. BR 277 AUTO - ESTRADA CURITIBA PARANAGUÁ (SJ. DOS PINHAIS)
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$C0040	R. ANDRE DE BARROS
