TERM030|N	TERMINAL TAMANDARÉ
$AT47E	R. DOMINGOS SCUCATO (ALM TAMANDARÉ)
$AT11D	R. BERTOLINA K. DE OLIVEIRA (ALM TAMANDARÉ)
$AT08D	R. ANTÔNIO BATISTA (ALM TAMANDARÉ)
$AT03E	R. JOSÉ CARLOS COLODEL (ALM TAMANDARÉ)
$AT74G	R. JOÃO B. DE SIQUEIRA (ALM TAMANDARÉ)
$AT85C	AV. NIDA COLONIAL (ALM TAMANDARÉ)
$AT26A	ROD. DOS MINÉRIOS PR - 92 (ALM TAMANDARÉ)
$AT96C	R. ANTÔNIO DE SIQUEIRA (ALM TAMANDARÉ)
$AT09F	AV. NIDA RAFAELA (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT77G	R. DEL. THEOLINDO B. SIQUEIRA (ALM TAMANDARÉ)
$AT87D	R. DEL. THEOLINDO BATISTA DE SIQUEIRA (ALM TAMANDARÉ)
$AT67H	R. IRENE COLODEL DA CRUZ (ALM TAMANDARÉ)
$AT76G	R. TRÊS (ALM TAMANDARÉ)
$AT71D	R. LEONARDO MURASKI (ALM TAMANDARÉ)
$AT76G	R. TRÊS (ALM TAMANDARÉ)
$AT67H	R. IRENE COLODEL DA CRUZ (ALM TAMANDARÉ)
$AT87D	R. DEL. THEOLINDO BATISTA DE SIQUEIRA (ALM TAMANDARÉ)
$AT77G	R. DEL. THEOLINDO B. SIQUEIRA (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT09F	AV. NIDA RAFAELA (ALM TAMANDARÉ)
$AT96C	R. ANTÔNIO DE SIQUEIRA (ALM TAMANDARÉ)
$AT26A	ROD. DOS MINÉRIOS PR - 92 (ALM TAMANDARÉ)
$AT85C	AV. NIDA COLONIAL (ALM TAMANDARÉ)
$AT74G	R. JOÃO B. DE SIQUEIRA (ALM TAMANDARÉ)
$AT03E	R. JOSÉ CARLOS COLODEL (ALM TAMANDARÉ)
$AT08D	R. ANTÔNIO BATISTA (ALM TAMANDARÉ)
$AT11D	R. BERTOLINA K. DE OLIVEIRA (ALM TAMANDARÉ)
$AT47E	R. DOMINGOS SCUCATO (ALM TAMANDARÉ)
