TERM025|N	TERMINAL GUADALUPE
$C0060	R. PEDRO IVO
$C0230	R. JOAO NEGRAO
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S040A	R. SERGIO VENCI
$S044G	R. EMBAIXADOR HIPOLITO DE ARAUJO
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S788A	R. EDUARDO VICTOR PIECHNIK
$S7130	AV. SENADOR SALGADO FILHO
$S0460	AV. COMENDADOR FRANCO
$SJ98S	AV. DAS TORRES (SJ. DOS PINHAIS)
$SJ70Q	ROD. BR 376 (SJ. DOS PINHAIS)
$SJ70M	R. PROF JOAO C DE CARVALHO (SJ. DOS PINHAIS)
$SJ06T	R. JOINVILE (SJ. DOS PINHAIS)
$SJ19H	R. DEP. JOÃO LEOPOLDO JACOMEL (SJ. DOS PINHAIS)
$SJ71S	R. MORETES (SJ. DOS PINHAIS)
$SJ07T	R. QUIRINO ZAGONEL (SJ. DOS PINHAIS)
$SJ14C	R. PEDRO A. DA ROCHA (SJ. DOS PINHAIS)
$SJ01H	R. JOÃO PEDRO FERRARO (SJ. DOS PINHAIS)
$SJ79R	R. PEDRINA COSTA VISKI (SJ. DOS PINHAIS)
$SJ70Q	ROD. BR 376 (SJ. DOS PINHAIS)
