TERM025|N	TERMINAL GUADALUPE
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$C0290	R. MARIANO TORRES
$C025M	R. LUIZ LEAO
$E0040	AV. AGOSTINHO LEAO JUNIOR
$E004F	R. AMANCIO MORO
$E004G	R. BARAO DE GUARAUNA
$E0070	R. AUGUSTO SEVERO
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E1160	AV. PREFEITO ERASTO GAERTNER
$E116F	AV. MONTEIRO TOURINHO
$C8880	ROD. BR-116
$CO10O	ROD. BR116 (COLOMBO)
$PI56G	EST. DA GRACIOSA (PINHAIS)
$CO90D	R. ANA PAULA GUARDA (COLOMBO)
$CO18O	R. OZÓRIO STRAPASSON (COLOMBO)
$CO41N	R. JUDITH SCHLUGA (COLOMBO)
$CO19O	R. ANAIR BONATO TOSIN (COLOMBO)
$CO95D	R. ALEIXO SCHLUGA (COLOMBO)
$CO19O	R. ANAIR BONATO TOSIN (COLOMBO)
$CO41N	R. JUDITH SCHLUGA (COLOMBO)
$CO18O	R. OZÓRIO STRAPASSON (COLOMBO)
$CO90D	R. ANA PAULA GUARDA (COLOMBO)
$PI56G	EST. DA GRACIOSA (PINHAIS)
$CO10O	ROD. BR116 (COLOMBO)
$C8880	ROD. BR-116
$E116F	AV. MONTEIRO TOURINHO
$E1510	AV. MARECHAL MASCARENHAS DE MORAIS
$E251D	R. PERY SOTTO MAIOR BITTENCOURT
$E116F	AV. MONTEIRO TOURINHO
$E1160	AV. PREFEITO ERASTO GAERTNER
$E115G	R. ALVARO BOTELHO
$E1140	R. NICARAGUA
$N0680	R. CORONEL AMAZONAS MARCONDES
$E004H	AV. MUNHOZ DA ROCHA
$E0250	R. DOUTOR MANOEL PEDRO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$N0430	R. DEPUTADO MARIO DE BARROS
$E007H	R. ALBERTO BOLLIGER
$E004G	R. BARAO DE GUARAUNA
$E004F	R. AMANCIO MORO
$C0390	R. UBALDINO DO AMARAL
$C006M	R. COMENDADOR MACEDO
$C0270	R. TIBAGI
$C004N	R. ITARARE
$C0060	R. PEDRO IVO
