PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0020	AV. VISCONDE DE GUARAPUAVA
$S0200	R. VINTE E QUATRO DE MAIO
$S0030	AV. IGUACU
$W7010	R. JOAO ALENCAR GUIMARAES
$W7060	R. CURUPAITIS
$W7050	R. MAJOR FRANCA GOMES
$W7090	R. REINALDO PAZELLO
$W7260	R. GUILHERME MARTINI
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7280	R. HEITOR CRESTO
$W0510	R. PROFESSOR ULISSES VIEIRA
$W7280	R. HEITOR CRESTO
$W0530	R. PROFESSOR BRASILIO OVIDIO DA COSTA
$W7260	R. GUILHERME MARTINI
$W7090	R. REINALDO PAZELLO
$W7050	R. MAJOR FRANCA GOMES
$S0050	AV. PRESIDENTE GETULIO VARGAS
$S0220	R. ALFERES POLI
