PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0040	R. ANDRE DE BARROS
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S8220	R. CORONEL FRANCISCO H. DOS SANTOS
$S8070	R. DOUTOR HUGO DE BARROS
$S8280	R. PEDRO DEMETERCO
$S8090	R. JOAO ITIBERE
$S8320	R. FREI VICENTE SALVADOR
$S829A	R. EDUARDO COUTURE
$S838C	R. ANDRE PETRELLI
$S8310	R. JOSE DE MELLO BRAGA JUNIOR
$S842B	R. MONSENHOR LAMARTINE
$S827B	R. FRANCISCO CASTELANO
$S8460	R. DONA SAZA LATTES
$S833B	R. PROFESSOR PAULO D ASSUMPCAO
$S8480	R. JULIO WISCHRAL
$S846F	R. IVO FERRO
$S833B	R. PROFESSOR PAULO D ASSUMPCAO
$S8460	R. DONA SAZA LATTES
$S827B	R. FRANCISCO CASTELANO
$S842B	R. MONSENHOR LAMARTINE
$S8310	R. JOSE DE MELLO BRAGA JUNIOR
$S838C	R. ANDRE PETRELLI
$S829A	R. EDUARDO COUTURE
$S8320	R. FREI VICENTE SALVADOR
$S8090	R. JOAO ITIBERE
$S8280	R. PEDRO DEMETERCO
$S8070	R. DOUTOR HUGO DE BARROS
$S8220	R. CORONEL FRANCISCO H. DOS SANTOS
$S810A	R. MARCOS SMANHOTTO
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0020	AV. VISCONDE DE GUARAPUAVA
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
