TERM025|N	TERMINAL GUADALUPE
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$C0290	R. MARIANO TORRES
$C025M	R. LUIZ LEAO
$E0040	AV. AGOSTINHO LEAO JUNIOR
$E004F	R. AMANCIO MORO
$E004G	R. BARAO DE GUARAUNA
$E0070	R. AUGUSTO SEVERO
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E002H	R. DEPUTADO JOAQUIM JOSE PEDROSA
$E1020	R. CANADA
$E102F	R. SAO JOAO
$E1310	R. GUILHERME IHLENFELDT
$C1020	AV. PARANA
$E1530	R. PADRE JOAO WISLINSKI
$E1400	EST. SANTA CANDIDA, DE
$CO23P	AV. SANTOS DUMONT (COLOMBO)
$CO22P	R. DAS OLARIAS (COLOMBO)
$CO47P	R. WASHINTON (COLOMBO)
$CO48P	R. LUIZ GULIN (COLOMBO)
$CO51P	R. ANDRÉ NADOLNY (COLOMBO)
$CO67E	R. RIO GUAPORE (COLOMBO)
$CO12C	R. RIO MADEIRA (COLOMBO)
$CO98B	R. RIO ARAGUAIA (COLOMBO)
$CO66E	R. RIO XINGU (COLOMBO)
$CO81N	AV. SANTOS DUMONT (COLOMBO)
$CO66E	R. RIO XINGU (COLOMBO)
$CO98B	R. RIO ARAGUAIA (COLOMBO)
$CO12C	R. RIO MADEIRA (COLOMBO)
$CO67E	R. RIO GUAPORE (COLOMBO)
$CO51P	R. ANDRÉ NADOLNY (COLOMBO)
$CO48P	R. LUIZ GULIN (COLOMBO)
$CO47P	R. WASHINTON (COLOMBO)
$CO22P	R. DAS OLARIAS (COLOMBO)
$CO23P	AV. SANTOS DUMONT (COLOMBO)
$E1400	EST. SANTA CANDIDA, DE
$E1530	R. PADRE JOAO WISLINSKI
$C1020	AV. PARANA
$N102G	R. JOAO GBUR
$N1020	R. JOVINO DO ROSARIO
$N0600	R. BELEM
$N062A	R. CORONEL JOAO ALENCAR GUIMARAES FILHO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$E0030	R. IVO LEAO
$N0350	R. LYSIMACO FERREIRA DA COSTA
$N0060	R. CANDIDO DE ABREU
$N0270	R. BARAO DE ANTONINA
$C025M	R. LUIZ LEAO
$C0270	R. TIBAGI
$C004N	R. ITARARE
$C0060	R. PEDRO IVO
