PCA004	PRAÇA SANTOS ANDRADE
$C014K	R. ALFREDO BUFREN
$C014L	R. AMINTAS DE BARROS
$C0390	R. UBALDINO DO AMARAL
$C0100	R. MARECHAL DEODORO
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E3180	R. RAPHAEL PAPA
$E4300	AV. VICTOR FERREIRA DO AMARAL
$PI87B	ROD. DEP JOAO LEOPOLDO JACOMEL (PINHAIS)
$PQ66C	ROD. VIA DEPUTADO JOAO LEOPOLDO JACOMEL (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ95G	R. FRANCISCO LEAL (PIRAQUARA)
TERM032|N	TERMINAL PIRAQUARA
$PQ86G	R. BARAO AZUL CERRO (PIRAQUARA)
$PQ02H	R. PADRE JOAO LECONTE (PIRAQUARA)
$PQ12H	AV. GETULIO VARGAS (PIRAQUARA)
$PQ66C	ROD. VIA DEPUTADO JOAO LEOPOLDO JACOMEL (PIRAQUARA)
$PI87B	ROD. DEP JOAO LEOPOLDO JACOMEL (PINHAIS)
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E3180	R. RAPHAEL PAPA
$C0120	R. QUINZE DE NOVEMBRO
$C021K	R. PRESIDENTE FARIA
$C014K	R. ALFREDO BUFREN
